0,1,2,3,4,5,6
201.25,201.2,201,200-208.99,140-239.99,001-999.99,001-999.99
648.51,648.5,648,640-649.99,630-679.99,001-999.99,001-999.99
992,990-995.99,800-999.99,001-999.99,001-999.99,001-999.99,001-999.99
914.5,914,910-919.99,800-999.99,001-999.99,001-999.99,001-999.99
307.21,307.2,307,300-316.99,290-319.99,001-999.99,001-999.99
307.23,307.2,307,300-316.99,290-319.99,001-999.99,001-999.99
339.89,339.8,339,339-339.99,320-389.99,001-999.99,001-999.99
585.5,585,580-589.99,580-629.99,001-999.99,001-999.99,001-999.99
659.81,659.8,659,650-659.99,630-679.99,001-999.99,001-999.99
642.9,642,640-649.99,630-679.99,001-999.99,001-999.99,001-999.99
211.5,211,210-229.99,140-239.99,001-999.99,001-999.99,001-999.99
081.0,081,080-088.99,001-139.99,001-999.99,001-999.99,001-999.99
539,530-539.99,520-579.99,001-999.99,001-999.99,001-999.99,001-999.99
225.9,225,210-229.99,140-239.99,001-999.99,001-999.99,001-999.99
634.21,634.2,634,634-639.99,630-679.99,001-999.99,001-999.99
813.06,813.0,813,810-819.99,800-829.99,800-999.99,001-999.99
438.7,438,430-438.99,390-459.99,001-999.99,001-999.99,001-999.99
727.63,727.6,727,725-729.99,710-739.99,001-999.99,001-999.99
711.41,711.4,711,710-719.99,710-739.99,001-999.99,001-999.99
778.8,778,764-779.99,760-779.99,001-999.99,001-999.99,001-999.99
362.61,362.6,362,360-379.99,320-389.99,001-999.99,001-999.99
664.80,664.8,664,660-669.99,630-679.99,001-999.99,001-999.99
305.41,305.4,305,300-316.99,290-319.99,001-999.99,001-999.99
003.22,003.2,003,001-009.99,001-139.99,001-999.99,001-999.99
784.0,784,780-789.99,780-799.99,001-999.99,001-999.99,001-999.99
200.18,200.1,200,200-208.99,140-239.99,001-999.99,001-999.99
015.70,015.7,015,010-018.99,001-139.99,001-999.99,001-999.99
173.39,173.3,173,170-176.99,140-239.99,001-999.99,001-999.99
410.0,410,410-414.99,390-459.99,001-999.99,001-999.99,001-999.99
750.1,750,740-759.99,001-999.99,001-999.99,001-999.99,001-999.99
404.91,404.9,404,401-405.99,390-459.99,001-999.99,001-999.99
442.82,442.8,442,440-449.99,390-459.99,001-999.99,001-999.99
815.0,815,810-819.99,800-829.99,800-999.99,001-999.99,001-999.99
442.84,442.8,442,440-449.99,390-459.99,001-999.99,001-999.99
296.05,296.0,296,295-299.99,290-299.99,290-319.99,001-999.99
296.03,296.0,296,295-299.99,290-299.99,290-319.99,001-999.99
719.36,719.3,719,710-719.99,710-739.99,001-999.99,001-999.99
719.34,719.3,719,710-719.99,710-739.99,001-999.99,001-999.99
112.0,112,110-118.99,001-139.99,001-999.99,001-999.99,001-999.99
741.03,741.0,741,740-759.99,001-999.99,001-999.99,001-999.99
786.30,786.3,786,780-789.99,780-799.99,001-999.99,001-999.99
520.8,520,520-529.99,520-579.99,001-999.99,001-999.99,001-999.99
191.8,191,190-199.99,140-239.99,001-999.99,001-999.99,001-999.99
099.49,099.4,099,090-099.99,001-139.99,001-999.99,001-999.99
995.69,995.6,995,990-995.99,800-999.99,001-999.99,001-999.99
767.5,767,764-779.99,760-779.99,001-999.99,001-999.99,001-999.99
301.22,301.2,301,300-316.99,290-319.99,001-999.99,001-999.99
854.09,854.0,854,850-854.99,800-999.99,001-999.99,001-999.99
050.2,050,050-059.99,001-139.99,001-999.99,001-999.99,001-999.99
906.6,906,905-909.99,800-999.99,001-999.99,001-999.99,001-999.99
767.8,767,764-779.99,760-779.99,001-999.99,001-999.99,001-999.99
716.63,716.6,716,710-719.99,710-739.99,001-999.99,001-999.99
653.80,653.8,653,650-659.99,630-679.99,001-999.99,001-999.99
008.46,008.4,008,001-009.99,001-139.99,001-999.99,001-999.99
008.44,008.4,008,001-009.99,001-139.99,001-999.99,001-999.99
773.0,773,764-779.99,760-779.99,001-999.99,001-999.99,001-999.99
413.1,413,410-414.99,390-459.99,001-999.99,001-999.99,001-999.99
753.2,753,740-759.99,001-999.99,001-999.99,001-999.99,001-999.99
214.9,214,210-229.99,140-239.99,001-999.99,001-999.99,001-999.99
455.2,455,451-459.99,390-459.99,001-999.99,001-999.99,001-999.99
642.50,642.5,642,640-649.99,630-679.99,001-999.99,001-999.99
801.55,801.5,801,800-804.99,800-829.99,800-999.99,001-999.99
115.1,115,110-118.99,001-139.99,001-999.99,001-999.99,001-999.99
404.03,404.0,404,401-405.99,390-459.99,001-999.99,001-999.99
250,249-259.99,240-279.99,001-999.99,001-999.99,001-999.99,001-999.99
851.92,851.9,851,850-854.99,800-999.99,001-999.99,001-999.99
