0,1,2,3,4,5,6
84.4,84,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
65.1,65,65-71.99,00-99.99,00-99.99,00-99.99,00-99.99
88.78,88.7,88,87-99.99,00-99.99,00-99.99,00-99.99
97.39,97.3,97,87-99.99,00-99.99,00-99.99,00-99.99
00.6,00-00.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
07.14,07.1,07,06-07.99,00-99.99,00-99.99,00-99.99
88.65,88.6,88,87-99.99,00-99.99,00-99.99,00-99.99
86.67,86.6,86,85-86.99,00-99.99,00-99.99,00-99.99
30.22,30.2,30,30-34.99,00-99.99,00-99.99,00-99.99
42.92,42.9,42,42-54.99,00-99.99,00-99.99,00-99.99
48.22,48.2,48,42-54.99,00-99.99,00-99.99,00-99.99
72.2,72,72-75.99,00-99.99,00-99.99,00-99.99,00-99.99
05.19,05.1,05,01-05.99,00-99.99,00-99.99,00-99.99
77.73,77.7,77,76-84.99,00-99.99,00-99.99,00-99.99
53.84,53.8,53,42-54.99,00-99.99,00-99.99,00-99.99
00.53,00.5,00-00.99,00-99.99,00-99.99,00-99.99,00-99.99
86.01,86.0,86,85-86.99,00-99.99,00-99.99,00-99.99
99.51,99.5,99,87-99.99,00-99.99,00-99.99,00-99.99
06.5,06,06-07.99,00-99.99,00-99.99,00-99.99,00-99.99
97.53,97.5,97,87-99.99,00-99.99,00-99.99,00-99.99
84.80,84.8,84,76-84.99,00-99.99,00-99.99,00-99.99
91.43,91.4,91,87-99.99,00-99.99,00-99.99,00-99.99
75.62,75.6,75,72-75.99,00-99.99,00-99.99,00-99.99
40.59,40.5,40,40-41.99,00-99.99,00-99.99,00-99.99
13.41,13.4,13,08-16.99,00-99.99,00-99.99,00-99.99
06,06-07.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
83.65,83.6,83,76-84.99,00-99.99,00-99.99,00-99.99
29.52,29.5,29,21-29.99,00-99.99,00-99.99,00-99.99
39.64,39.6,39,35-39.99,00-99.99,00-99.99,00-99.99
26.91,26.9,26,21-29.99,00-99.99,00-99.99,00-99.99
60.94,60.9,60,60-64.99,00-99.99,00-99.99,00-99.99
97.56,97.5,97,87-99.99,00-99.99,00-99.99,00-99.99
91.46,91.4,91,87-99.99,00-99.99,00-99.99,00-99.99
06.81,06.8,06,06-07.99,00-99.99,00-99.99,00-99.99
03.98,03.9,03,01-05.99,00-99.99,00-99.99,00-99.99
37.99,37.9,37,35-39.99,00-99.99,00-99.99,00-99.99
89.46,89.4,89,87-99.99,00-99.99,00-99.99,00-99.99
36.15,36.1,36,35-39.99,00-99.99,00-99.99,00-99.99
48.25,48.2,48,42-54.99,00-99.99,00-99.99,00-99.99
14.24,14.2,14,08-16.99,00-99.99,00-99.99,00-99.99
00.19,00.1,00-00.99,00-99.99,00-99.99,00-99.99,00-99.99
12.29,12.2,12,08-16.99,00-99.99,00-99.99,00-99.99
46.87,46.8,46,42-54.99,00-99.99,00-99.99,00-99.99
55.32,55.3,55,55-59.99,00-99.99,00-99.99,00-99.99
89.33,89.3,89,87-99.99,00-99.99,00-99.99,00-99.99
82.85,82.8,82,76-84.99,00-99.99,00-99.99,00-99.99
84.83,84.8,84,76-84.99,00-99.99,00-99.99,00-99.99
89.4,89,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
58.0,58,55-59.99,00-99.99,00-99.99,00-99.99,00-99.99
93.11,93.1,93,87-99.99,00-99.99,00-99.99,00-99.99
13.69,13.6,13,08-16.99,00-99.99,00-99.99,00-99.99
12.8,12,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99
44.40,44.4,44,42-54.99,00-99.99,00-99.99,00-99.99
35.22,35.2,35,35-39.99,00-99.99,00-99.99,00-99.99
01.21,01.2,01,01-05.99,00-99.99,00-99.99,00-99.99
13.6,13,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99
70.62,70.6,70,65-71.99,00-99.99,00-99.99,00-99.99
82.72,82.7,82,76-84.99,00-99.99,00-99.99,00-99.99
24.9,24,21-29.99,00-99.99,00-99.99,00-99.99,00-99.99
84.53,84.5,84,76-84.99,00-99.99,00-99.99,00-99.99
81.92,81.9,81,76-84.99,00-99.99,00-99.99,00-99.99
99.48,99.4,99,87-99.99,00-99.99,00-99.99,00-99.99
69.23,69.2,69,65-71.99,00-99.99,00-99.99,00-99.99
03.90,03.9,03,01-05.99,00-99.99,00-99.99,00-99.99
91.16,91.1,91,87-99.99,00-99.99,00-99.99,00-99.99
06.51,06.5,06,06-07.99,00-99.99,00-99.99,00-99.99
15.12,15.1,15,08-16.99,00-99.99,00-99.99,00-99.99
00.41,00.4,00-00.99,00-99.99,00-99.99,00-99.99,00-99.99
13.01,13.0,13,08-16.99,00-99.99,00-99.99,00-99.99
80.77,80.7,80,76-84.99,00-99.99,00-99.99,00-99.99
45.94,45.9,45,42-54.99,00-99.99,00-99.99,00-99.99
94.52,94.5,94,87-99.99,00-99.99,00-99.99,00-99.99
91.03,91.0,91,87-99.99,00-99.99,00-99.99,00-99.99
56.86,56.8,56,55-59.99,00-99.99,00-99.99,00-99.99
24.99,24.9,24,21-29.99,00-99.99,00-99.99,00-99.99
87.38,87.3,87,87-99.99,00-99.99,00-99.99,00-99.99
88.40,88.4,88,87-99.99,00-99.99,00-99.99,00-99.99
67.12,67.1,67,65-71.99,00-99.99,00-99.99,00-99.99
91.1,91,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
33.27,33.2,33,30-34.99,00-99.99,00-99.99,00-99.99
99.92,99.9,99,87-99.99,00-99.99,00-99.99,00-99.99
33.71,33.7,33,30-34.99,00-99.99,00-99.99,00-99.99
79.82,79.8,79,76-84.99,00-99.99,00-99.99,00-99.99
45.81,45.8,45,42-54.99,00-99.99,00-99.99,00-99.99
89.06,89.0,89,87-99.99,00-99.99,00-99.99,00-99.99
90.23,90.2,90,87-99.99,00-99.99,00-99.99,00-99.99
56.89,56.8,56,55-59.99,00-99.99,00-99.99,00-99.99
76.4,76,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
80.11,80.1,80,76-84.99,00-99.99,00-99.99,00-99.99
12,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
78.67,78.6,78,76-84.99,00-99.99,00-99.99,00-99.99
65.94,65.9,65,65-71.99,00-99.99,00-99.99,00-99.99
09.83,09.8,09,08-16.99,00-99.99,00-99.99,00-99.99
91.63,91.6,91,87-99.99,00-99.99,00-99.99,00-99.99
44.00,44.0,44,42-54.99,00-99.99,00-99.99,00-99.99
04.3,04,01-05.99,00-99.99,00-99.99,00-99.99,00-99.99
97.31,97.3,97,87-99.99,00-99.99,00-99.99,00-99.99
16.4,16,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99
87.85,87.8,87,87-99.99,00-99.99,00-99.99,00-99.99
54.12,54.1,54,42-54.99,00-99.99,00-99.99,00-99.99
89.50,89.5,89,87-99.99,00-99.99,00-99.99,00-99.99
81.45,81.4,81,76-84.99,00-99.99,00-99.99,00-99.99
31.79,31.7,31,30-34.99,00-99.99,00-99.99,00-99.99
84.06,84.0,84,76-84.99,00-99.99,00-99.99,00-99.99
96.16,96.1,96,87-99.99,00-99.99,00-99.99,00-99.99
17.8,17,17-17.99,00-99.99,00-99.99,00-99.99,00-99.99
89.53,89.5,89,87-99.99,00-99.99,00-99.99,00-99.99
55.52,55.5,55,55-59.99,00-99.99,00-99.99,00-99.99
71.4,71,65-71.99,00-99.99,00-99.99,00-99.99,00-99.99
38.24,38.2,38,35-39.99,00-99.99,00-99.99,00-99.99
39.42,39.4,39,35-39.99,00-99.99,00-99.99,00-99.99
51.89,51.8,51,42-54.99,00-99.99,00-99.99,00-99.99
32.59,32.5,32,30-34.99,00-99.99,00-99.99,00-99.99
19.54,19.5,19,18-20.99,00-99.99,00-99.99,00-99.99
38.84,38.8,38,35-39.99,00-99.99,00-99.99,00-99.99
16.93,16.9,16,08-16.99,00-99.99,00-99.99,00-99.99
84.0,84,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
54.72,54.7,54,42-54.99,00-99.99,00-99.99,00-99.99
20.71,20.7,20,18-20.99,00-99.99,00-99.99,00-99.99
97.5,97,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
49.79,49.7,49,42-54.99,00-99.99,00-99.99,00-99.99
45.34,45.3,45,42-54.99,00-99.99,00-99.99,00-99.99
79.35,79.3,79,76-84.99,00-99.99,00-99.99,00-99.99
11.49,11.4,11,08-16.99,00-99.99,00-99.99,00-99.99
83.13,83.1,83,76-84.99,00-99.99,00-99.99,00-99.99
